Date	ActualValue	ForecastValue	PreviousValue
2022.08.04	1.75		1.25
2022.06.16	1.25		1.00
2022.05.05	1.00		0.75
2022.03.17	0.75		0.50
2022.02.03	0.50		0.25
2021.12.16	0.25		0.10
2021.11.04	0.10		0.10
2021.09.23	0.10		0.10
2021.08.05	0.10		0.10
2021.06.24	0.10		0.10
2021.05.06	0.10		0.10
2021.03.18	0.10		0.10
2021.02.04	0.10		0.10
2020.12.17	0.10		0.10
2020.11.05	0.10		0.10
2020.09.17	0.10		0.10
2020.08.06	0.10		0.10
2020.06.18	0.10		0.10
2020.05.07	0.10		0.10
2020.03.26	0.10		0.10
2020.03.19	0.10		0.25
2020.03.11	0.25		0.75
2020.01.30	0.75		0.75
2019.12.19	0.75		0.75
2019.11.07	0.75		0.75
2019.09.19	0.75		0.75
2019.08.01	0.75		0.75
2019.06.20	0.75		0.75
2019.05.02	0.75		0.75
2019.03.21	0.75		0.75
2019.02.07	0.75		0.75
2018.12.20	0.75		0.75
2018.11.01	0.75		0.75
2018.09.13	0.75		0.75
2018.08.02	0.75		0.50
2018.06.21	0.50		0.50
2018.05.10	0.50		0.50
2018.03.22	0.50		0.50
2018.02.08	0.50	0.12	0.50
2017.12.14	0.50	0.72	0.50
2017.11.02	0.50	0.57	0.25
2017.09.14	0.25	0.10	0.25
2017.08.03	0.25	0.20	0.25
2017.06.15	0.25		0.25
2017.05.11	0.25		0.25
2017.03.16	0.25		0.25
2017.02.02	0.25		0.25
2016.12.15	0.25		0.25
2016.11.03	0.25		0.25
2016.09.15	0.25		0.25
2016.08.04	0.25		0.50
2016.07.14	0.50		0.50
2016.06.16	0.50		0.50
2016.05.12	0.50		0.50
2016.04.14	0.50		0.50
2016.03.17	0.50		0.50
2016.02.04	0.50		0.50
2016.01.14	0.50		0.50
2015.12.10	0.50		0.50
2015.11.05	0.50		0.50
2015.10.08	0.50		0.50
2015.09.10	0.50		0.50
2015.08.06	0.50		0.50
2015.07.09	0.50		0.50
2015.06.04	0.50		0.50
2015.05.11	0.50		0.50
2015.04.09	0.50		0.50
2015.03.05	0.50		0.50
2015.02.05	0.50		0.50
2015.01.08	0.50		0.50
2014.12.04	0.50		0.50
2014.11.06	0.50		0.50
2014.10.09	0.50		0.50
2014.09.04	0.50		0.50
2014.08.07	0.50		0.50
2014.07.10	0.50		0.50
2014.06.05	0.50		0.50
2014.05.08	0.50		0.50
2014.04.10	0.50		0.50
2014.03.06	0.50		0.50
2014.02.06	0.50		0.50
2014.01.09	0.50		0.50
2013.12.05	0.50		0.50
2013.11.07	0.50		0.50
2013.10.10	0.50		0.50
2013.09.05	0.50		0.50
2013.08.01	0.50		0.50
2013.07.04	0.50		0.50
2013.06.06	0.50		0.50
2013.05.09	0.50		0.50
2013.04.04	0.50		0.50
2013.03.07	0.50		0.50
2013.02.07	0.50		0.50
2013.01.10	0.50		0.50
2012.12.06	0.50		0.50
2012.11.08	0.50		0.50
2012.10.04	0.50		0.50
2012.09.06	0.50		0.50
2012.08.02	0.50		0.50
2012.07.05	0.50		0.50
2012.06.07	0.50		0.50
2012.05.10	0.50		0.50
2012.04.05	0.50		0.50
2012.03.08	0.50		0.50
2012.02.09	0.50		0.50
2012.01.12	0.50		0.50
2011.12.08	0.50		0.50
2011.11.10	0.50		0.50
2011.10.06	0.50		0.50
2011.09.08	0.50		0.50
2011.08.04	0.50		0.50
2011.07.07	0.50		0.50
2011.06.09	0.50		0.50
2011.05.05	0.50		0.50
2011.04.07	0.50		0.50
2011.03.10	0.50		0.50
2011.02.10	0.50		0.50
2011.01.13	0.50		0.50
2010.12.09	0.50		0.50
2010.11.04	0.50		0.50
2010.10.07	0.50		0.50
2010.09.09	0.50		0.50
2010.08.05	0.50		0.50
2010.07.08	0.50		0.50
2010.06.10	0.50		0.50
2010.05.10	0.50		0.50
2010.04.08	0.50		0.50
2010.03.04	0.50		0.50
2010.02.04	0.50		0.50
2010.01.07	0.50		0.50
2009.12.10	0.50		0.50
2009.11.05	0.50		0.50
2009.10.08	0.50		0.50
2009.09.10	0.50		0.50
2009.08.06	0.50		0.50
2009.07.09	0.50		0.50
2009.06.04	0.50		0.50
2009.05.07	0.50		0.50
2009.04.09	0.50		0.50
2009.03.05	0.50		1.00
2009.02.05	1.00		1.50
2009.01.08	1.50		2.00
2008.12.04	2.00		3.00
2008.11.06	3.00		4.50
2008.10.08	4.50		5.00
2008.09.04	5.00		5.00
2008.08.07	5.00		5.00
2008.07.10	5.00		5.00
2008.06.05	5.00		5.00
2008.05.08	5.00		5.00
2008.04.10	5.00		5.25
2008.03.06	5.25		5.25
2008.02.07	5.25		5.50
2008.01.10	5.50		5.50
2007.12.06	5.50		5.75
2007.11.08	5.75		5.75
2007.10.04	5.75		5.75
2007.09.06	5.75		5.75
2007.08.02	5.75		5.75
2007.07.05	5.75		5.50
2007.06.07	5.50		5.50
2007.05.10	5.50		5.25
2007.01.11	5.25		5.00
