0,,          -0.25%        ,,
1,,          -0.75%        ,,
2,,          -0.75%        ,,
3,,          -0.75%        ,,
4,,          -0.75%        ,,
5,,          -0.75%        ,,
6,,          -0.75%        ,,
7,,          -0.75%        ,,
8,,          -0.75%        ,,
9,,          -0.75%        ,,
10,,          -0.75%        ,,
11,,          -0.75%        ,,
12,,          -0.75%        ,,
13,,          -0.75%        ,,
14,,          -0.75%        ,,
15,,          -0.75%        ,,
16,,          -0.75%        ,,
17,,          -0.75%        ,-0.71%,
18,,          -0.75%        ,-0.80%,
19,,          -0.75%        ,,
20,,          -0.75%        ,,
21,,          -0.75%        ,,
22,,          -0.75%        ,,
23,,          -0.75%        ,,
24,,          -0.75%        ,,
25,,          -0.75%        ,,
26,,          -0.75%        ,,
27,,          -0.75%        ,,
28,,          -0.75%        ,,
29,,          -0.75%        ,,
30,,          -0.75%        ,,
31,,          -0.25%        ,,
32,,          0.00%        ,,
33,,          0.00%        ,,
34,,          0.00%        ,,
35,,          0.00%        ,,
36,,          0.00%        ,,
37,,          0.00%        ,,
38,,          0.00%        ,,
39,,          0.00%        ,,
40,,          0.00%        ,,
41,,          0.00%        ,,
42,,          0.00%        ,,
43,,          0.00%        ,,
44,,          0.00%        ,,
45,,          0.00%        ,,
46,,          0.00%        ,,
47,,          0.25%        ,,
48,,          0.25%        ,,
49,,          0.25%        ,,
50,,          0.25%        ,,
51,,          0.25%        ,,
52,,          0.25%        ,,
53,,          0.25%        ,,
54,,          0.25%        ,,
55,,          0.25%        ,,
56,,          0.25%        ,,
57,,          0.50%        ,,
58,,          1.00%        ,,
59,,          2.00%        ,,
60,,          2.50%        ,,
61,,          2.75%        ,,
62,,          2.75%        ,,
63,,          2.75%        ,,
64,,          2.75%        ,,
65,,          2.75%        ,,
66,,          2.50%        ,,
67,,          2.25%        ,,
68,,          0.25%        ,,
69,,          0.25%        ,,
70,,          0.25%        ,,
71,,          0.25%        ,,
72,,          0.25%        ,,
73,,          0.25%        ,,
74,,          0.25%        ,,
75,,          0.50%        ,,
76,,          1.00%        ,,
77,,          2.00%        ,,
78,,          2.50%        ,,
79,,          2.75%        ,,
80,,          2.75%        ,,
81,,          2.75%        ,,
82,,          2.75%        ,,
83,,          2.75%        ,,
84,,          2.50%        ,,
85,,          2.25%        ,,
86,,          0.25%        ,,
87,,          0.25%        ,,
88,,          0.25%        ,,
89,,          0.25%        ,,
90,,          0.25%        ,,
91,,          0.25%        ,,
92,,          0.25%        ,,
93,,          0.50%        ,,
94,,          1.00%        ,,
95,,          2.00%        ,,
96,,          2.50%        ,,
97,,          2.75%        ,,
98,,          2.75%        ,,
99,,          2.75%        ,,
100,,          2.75%        ,,
101,,          2.75%        ,,
102,,          2.50%        ,,
103,,          2.25%        ,,
